name,date,price
corn,2022-11-02,2049.6
corn,2022-11-03,2053.8
corn,2022-11-04,2020.2
corn,2022-11-05,2041.2
corn,2022-11-06,2045.4
corn,2022-11-07,2142
corn,2022-11-08,2049.6
corn,2022-11-09,2083.2
corn,2022-11-10,1974
corn,2022-11-11,1848
corn,2022-11-12,1957.2
corn,2022-11-13,1864.8
corn,2022-11-14,1797.6
green bean,2022-10-16,1500
green bean,2022-10-17,1500
green bean,2022-10-18,1500
green bean,2022-10-19,1500
green bean,2022-10-20,1500
green bean,2022-10-21,1500
green bean,2022-10-22,1500
green bean,2022-10-23,1500
green bean,2022-10-24,1500
green bean,2022-10-25,1500
green bean,2022-10-26,1500
green bean,2022-10-27,1500
green bean,2022-10-28,1500
green bean,2022-10-29,1500
green bean,2022-10-30,1500
green bean,2022-10-31,1500
green bean,2022-11-01,1500
green bean,2022-11-02,1500
green bean,2022-11-03,1500
green bean,2022-11-04,1500
green bean,2022-11-05,1500
green bean,2022-11-06,1500
green bean,2022-11-07,1500
green bean,2022-11-08,1500
green bean,2022-11-09,1500
green bean,2022-11-10,1500
green bean,2022-11-11,1500
green bean,2022-11-12,1500
green bean,2022-11-13,1500
green bean,2022-11-14,1500
red bean,2022-10-16,2110.5
red bean,2022-10-17,2031
red bean,2022-10-18,2010
red bean,2022-10-19,2029.5
red bean,2022-10-20,2070
red bean,2022-10-21,1978.5
red bean,2022-10-22,1978.5
red bean,2022-10-23,2182.5
red bean,2022-10-24,2013
red bean,2022-10-25,1972.5
red bean,2022-10-26,2016
red bean,2022-10-27,1957.5
red bean,2022-10-28,1974
red bean,2022-10-29,1932
red bean,2022-10-30,1933.5
red bean,2022-10-31,2055
red bean,2022-11-01,1953
red bean,2022-11-02,1891.5
red bean,2022-11-03,1855.5
red bean,2022-11-04,1929
red bean,2022-11-05,1801.5
red bean,2022-11-06,1902
red bean,2022-11-07,1857
red bean,2022-11-08,1909.5
red bean,2022-11-09,1927.5
red bean,2022-11-10,2049
red bean,2022-11-11,2076
red bean,2022-11-12,2049
red bean,2022-11-13,2131.5
red bean,2022-11-14,2028
black bean,2022-10-16,3450
black bean,2022-10-17,3450
black bean,2022-10-18,3450
black bean,2022-10-19,3450
black bean,2022-10-20,3450
black bean,2022-10-21,3450
black bean,2022-10-22,3450
black bean,2022-10-23,3450
black bean,2022-10-24,3450
black bean,2022-10-25,3450
black bean,2022-10-26,3450
black bean,2022-10-27,3450
black bean,2022-10-28,3450
black bean,2022-10-29,3450
black bean,2022-10-30,3450
black bean,2022-10-31,3450
black bean,2022-11-01,3450
black bean,2022-11-02,3450
black bean,2022-11-03,3450
black bean,2022-11-04,3450
black bean,2022-11-05,3450
black bean,2022-11-06,3450
black bean,2022-11-07,3450
black bean,2022-11-08,3450
black bean,2022-11-09,3450
black bean,2022-11-10,3450
black bean,2022-11-11,3450
black bean,2022-11-12,3450
black bean,2022-11-13,3450
black bean,2022-11-14,3450
nectarine,2022-10-16,19400
nectarine,2022-10-17,19600
nectarine,2022-10-18,18440
nectarine,2022-10-19,17960
nectarine,2022-10-20,17960
nectarine,2022-10-21,18840
nectarine,2022-10-22,19400
nectarine,2022-10-23,19400
nectarine,2022-10-24,17960
nectarine,2022-10-25,18840
nectarine,2022-10-26,19400
nectarine,2022-10-27,19600
nectarine,2022-10-28,20400
nectarine,2022-10-29,21500
nectarine,2022-10-30,23660
nectarine,2022-10-31,21760
nectarine,2022-11-01,21760
nectarine,2022-11-02,20400
nectarine,2022-11-03,20400
nectarine,2022-11-04,20400
nectarine,2022-11-05,21500
nectarine,2022-11-06,16500
nectarine,2022-11-07,21500
nectarine,2022-11-08,20400
nectarine,2022-11-09,20400
nectarine,2022-11-10,20400
nectarine,2022-11-11,21760
nectarine,2022-11-12,21500
nectarine,2022-11-13,21500
nectarine,2022-11-14,20400
white cabbage,2022-10-16,7200
white cabbage,2022-10-17,7162.5
white cabbage,2022-10-18,7050
white cabbage,2022-10-19,7162.5
white cabbage,2022-10-20,7125
white cabbage,2022-10-21,7012.5
white cabbage,2022-10-22,6675
white cabbage,2022-10-23,6787.5
white cabbage,2022-10-24,6787.5
white cabbage,2022-10-25,6637.5
white cabbage,2022-10-26,6675
white cabbage,2022-10-27,6450
white cabbage,2022-10-28,6600
white cabbage,2022-10-29,6450
white cabbage,2022-10-30,6262.5
white cabbage,2022-10-31,6300
white cabbage,2022-11-01,6150
white cabbage,2022-11-02,6000
white cabbage,2022-11-03,5887.5
white cabbage,2022-11-04,5962.5
white cabbage,2022-11-05,5775
white cabbage,2022-11-06,5475
white cabbage,2022-11-07,5737.5
white cabbage,2022-11-08,5662.5
white cabbage,2022-11-09,5625
white cabbage,2022-11-10,5662.5
white cabbage,2022-11-11,5437.5
white cabbage,2022-11-12,5287.5
white cabbage,2022-11-13,5212.5
white cabbage,2022-11-14,5362.5
reddish,2022-10-16,10520
reddish,2022-10-17,9920
reddish,2022-10-18,9720
reddish,2022-10-19,8960
reddish,2022-10-20,9680
reddish,2022-10-21,9880
reddish,2022-10-22,10280
reddish,2022-10-23,10400
reddish,2022-10-24,9240
reddish,2022-10-25,9680
reddish,2022-10-26,9560
reddish,2022-10-27,9800
reddish,2022-10-28,9320
reddish,2022-10-29,9400
reddish,2022-10-30,9840
reddish,2022-10-31,9480
reddish,2022-11-01,9080
reddish,2022-11-02,9480
reddish,2022-11-03,9240
reddish,2022-11-04,9640
reddish,2022-11-05,9480
reddish,2022-11-06,8960
reddish,2022-11-07,9360
reddish,2022-11-08,8640
reddish,2022-11-09,9480
reddish,2022-11-10,9560
reddish,2022-11-11,9720
reddish,2022-11-12,9840
reddish,2022-11-13,9800
reddish,2022-11-14,9720
pear,2022-10-16,14000
pear,2022-10-17,14000
pear,2022-10-18,14000
pear,2022-10-19,15000
pear,2022-10-20,14000
pear,2022-10-21,14000
pear,2022-10-22,14000
pear,2022-10-23,15000
pear,2022-10-24,14000
pear,2022-10-25,14000
pear,2022-10-26,14000
pear,2022-10-27,15000
pear,2022-10-28,15000
pear,2022-10-29,15000
pear,2022-10-30,15000
pear,2022-10-31,15000
pear,2022-11-01,15000
pear,2022-11-02,15000
pear,2022-11-03,15000
pear,2022-11-04,15000
pear,2022-11-05,15000
pear,2022-11-06,15000
pear,2022-11-07,15000
pear,2022-11-08,15000
pear,2022-11-09,15000
pear,2022-11-10,15000
pear,2022-11-11,15000
pear,2022-11-12,15000
pear,2022-11-13,15000
pear,2022-11-14,15000
mushroom,2022-10-16,16875
mushroom,2022-10-17,19912.5
mushroom,2022-10-18,19912.5
mushroom,2022-10-19,19912.5
mushroom,2022-10-20,19912.5
mushroom,2022-10-21,19642.5
mushroom,2022-10-22,19642.5
mushroom,2022-10-23,16335
mushroom,2022-10-24,19507.5
mushroom,2022-10-25,19507.5
mushroom,2022-10-26,19507.5
mushroom,2022-10-27,19507.5
mushroom,2022-10-28,19507.5
mushroom,2022-10-29,19372.5
mushroom,2022-10-30,15795
mushroom,2022-10-31,17550
mushroom,2022-11-01,19912.5
mushroom,2022-11-02,19912.5
mushroom,2022-11-03,19912.5
mushroom,2022-11-04,19912.5
mushroom,2022-11-05,19912.5
mushroom,2022-11-06,12150
mushroom,2022-11-07,19912.5
mushroom,2022-11-08,16875
mushroom,2022-11-09,20317.5
mushroom,2022-11-10,20317.5
mushroom,2022-11-11,20317.5
mushroom,2022-11-12,20317.5
mushroom,2022-11-13,17685
mushroom,2022-11-14,12150
broccoli,2022-10-16,8172
broccoli,2022-10-17,8208
broccoli,2022-10-18,8280
broccoli,2022-10-19,8220
broccoli,2022-10-20,8304
broccoli,2022-10-21,8316
broccoli,2022-10-22,8376
broccoli,2022-10-23,8316
broccoli,2022-10-24,8388
broccoli,2022-10-25,8352
broccoli,2022-10-26,8304
broccoli,2022-10-27,8148
broccoli,2022-10-28,8076
broccoli,2022-10-29,8088
broccoli,2022-10-30,7512
broccoli,2022-10-31,7668
broccoli,2022-11-01,7368
broccoli,2022-11-02,7176
broccoli,2022-11-03,7188
broccoli,2022-11-04,7092
broccoli,2022-11-05,7188
broccoli,2022-11-06,6660
broccoli,2022-11-07,6708
broccoli,2022-11-08,6636
broccoli,2022-11-09,6672
broccoli,2022-11-10,6720
broccoli,2022-11-11,6540
broccoli,2022-11-12,6804
broccoli,2022-11-13,6588
broccoli,2022-11-14,6360
potato,2022-10-16,5640
potato,2022-10-17,5460
potato,2022-10-18,5400
potato,2022-10-19,5320
potato,2022-10-20,5400
potato,2022-10-21,5400
potato,2022-10-22,5400
potato,2022-10-23,5420
potato,2022-10-24,5500
potato,2022-10-25,5480
potato,2022-10-26,5520
potato,2022-10-27,5480
potato,2022-10-28,5440
potato,2022-10-29,5440
potato,2022-10-30,5460
potato,2022-10-31,5480
potato,2022-11-01,5560
potato,2022-11-02,5540
potato,2022-11-03,5560
potato,2022-11-04,5540
potato,2022-11-05,5620
potato,2022-11-06,5600
potato,2022-11-07,5480
potato,2022-11-08,5640
potato,2022-11-09,5620
potato,2022-11-10,5640
potato,2022-11-11,5660
potato,2022-11-12,5700
potato,2022-11-13,5700
potato,2022-11-14,5780
carbon,2022-10-16,16
carbon,2022-10-17,16
carbon,2022-10-18,16
carbon,2022-10-19,16
carbon,2022-10-20,16
carbon,2022-10-21,16
carbon,2022-10-22,16
carbon,2022-10-23,16
carbon,2022-10-24,16
carbon,2022-10-25,16
carbon,2022-10-26,16
carbon,2022-10-27,16
carbon,2022-10-28,16
carbon,2022-10-29,16
carbon,2022-10-30,16
carbon,2022-10-31,16
carbon,2022-11-01,16
carbon,2022-11-02,16
carbon,2022-11-03,16
carbon,2022-11-04,16
carbon,2022-11-05,16
carbon,2022-11-06,16
carbon,2022-11-07,16
carbon,2022-11-08,16
carbon,2022-11-09,16
carbon,2022-11-10,16
carbon,2022-11-11,16
carbon,2022-11-12,16
carbon,2022-11-13,16
carbon,2022-11-14,16
