date,Carbon_emission_trading,Carbon_trade,Payment_for_ecosystem_services,Carbon_tax
2012-08,5,1,1,19
2012-09,6,2,1,14
2012-10,6,2,1,14
2012-11,6,3,1,14
2012-12,5,2,1,8
2013-01,6,2,1,9
2013-02,5,2,1,11
2013-03,5,2,1,13
2013-04,6,2,1,13
2013-05,5,2,1,12
2013-06,5,2,1,10
2013-07,4,1,1,12
2013-08,4,1,1,10
2013-09,4,2,1,16
2013-10,5,2,1,11
2013-11,6,2,1,10
2013-12,4,2,1,7
2014-01,4,1,1,5
2014-02,3,1,1,8
2014-03,4,2,1,10
2014-04,4,2,1,9
2014-05,4,2,1,9
2014-06,4,1,1,9
2014-07,3,1,1,23
2014-08,3,1,1,8
2014-09,3,2,1,9
2014-10,4,2,1,9
2014-11,4,2,1,8
2014-12,4,2,1,8
2015-01,3,1,1,7
2015-02,3,2,1,7
2015-03,3,2,1,7
2015-04,3,2,1,8
2015-05,3,2,1,6
2015-06,3,1,1,6
2015-07,3,1,1,5
2015-08,2,1,1,6
2015-09,3,2,1,6
2015-10,3,2,1,7
2015-11,4,2,1,10
2015-12,3,2,1,8
2016-01,3,2,0,10
2016-02,3,2,1,18
2016-03,3,2,1,10
2016-04,4,3,1,9
2016-05,4,3,1,7
2016-06,3,2,1,7
2016-07,2,2,0,7
2016-08,2,1,1,7
2016-09,2,2,0,9
2016-10,3,3,1,23
2016-11,3,2,1,21
2016-12,3,2,1,25
2017-01,2,2,1,42
2017-02,3,2,1,17
2017-03,3,2,1,14
2017-04,3,2,1,13
2017-05,3,2,1,10
2017-06,2,1,1,8
2017-07,2,1,1,8
2017-08,2,1,1,5
2017-09,2,1,1,6
2017-10,3,2,1,8
2017-11,3,2,1,9
2017-12,3,2,1,8
2018-01,3,2,1,11
2018-02,3,2,1,11
2018-03,3,2,1,11
2018-04,3,2,1,14
2018-05,3,2,1,10
2018-06,2,1,1,10
2018-07,2,1,1,10
2018-08,2,1,0,9
2018-09,2,1,1,9
2018-10,2,2,1,22
2018-11,3,2,1,16
2018-12,2,1,0,14
2019-01,2,1,1,16
2019-02,2,1,1,16
2019-03,2,1,0,37
2019-04,2,2,1,50
2019-05,3,2,1,25
2019-06,2,1,1,19
2019-07,2,1,1,11
2019-08,2,1,0,9
2019-09,2,2,1,14
2019-10,2,2,1,23
2019-11,3,2,1,14
2019-12,3,2,1,15
2020-01,3,2,0,16
2020-02,3,2,1,17
2020-03,2,1,0,15
2020-04,2,2,1,15
2020-05,3,2,1,9
2020-06,2,1,1,7
2020-07,2,1,1,7
2020-08,2,1,1,5
2020-09,3,2,1,8
2020-10,3,2,0,9
2020-11,3,2,1,7
2020-12,3,2,0,13
2021-01,3,1,0,9
2021-02,3,2,1,10
2021-03,4,2,0,20
2021-04,4,2,1,17
2021-05,4,2,1,8
2021-06,5,2,1,8
2021-07,6,2,0,8
2021-08,4,2,0,7
2021-09,5,2,0,10
2021-10,5,2,0,11
2021-11,6,2,1,10
2021-12,5,2,1,7
2022-01,5,2,0,10
2022-02,6,3,1,15
2022-03,6,3,1,29
2022-04,6,3,1,22
2022-05,6,3,1,14
2022-06,6,2,1,15
2022-07,5,2,1,38
2022-08,6,2,1,10
2022-09,6,2,0,13
2022-10,6,3,1,22
2022-11,7,3,1,13
